BCode;BVal;BLot;BFreq;BAvg;#;SCode;SVal;SLot;SFreq;SAvg;
SAGE-W;4400;2200;1;2.00;400;MTLA;320000;800;2;400.00;
SMLE-W;4000;400;2;10.00;401;ECII;294400;1100;2;267.64;
;;;;402;GEMA;282400;1100;2;256.73;
;;;;403;TALF;263400;900;3;292.67;
;;;;404;BAJA;262500;2100;4;125.00;
;;;;405;MITI;259300;1400;4;185.21;
;;;;406;PPRE;246400;3200;5;77.00;
;;;;407;DIVA;217900;1100;2;198.09;
;;;;408;IDPR;200200;1400;2;143.00;
;;;;409;PTPS;184000;1000;1;184.00;
;;;;410;HOMI;179800;800;3;224.75;
;;;;411;PTSN;172200;700;1;246.00;
;;;;412;SBMA;158000;1000;1;158.00;
;;;;413;CINT;151000;1000;2;151.00;
;;;;414;ANJT;143000;200;1;715.00;
;;;;415;INAF;129000;300;2;430.00;
;;;;416;GWSA;118200;800;4;147.75;
;;;;417;SIPD;97500;100;1;975.00;
;;;;418;CENT;88400;1700;2;52.00;
;;;;419;KMTR;84000;300;1;280.00;
;;;;420;JIHD;77200;200;2;386.00;
;;;;421;INPC;77000;1100;1;70.00;
;;;;422;BMSR;66600;200;2;333.00;
;;;;423;EMDE;50400;400;2;126.00;
;;;;424;GSMF;44100;700;2;63.00;
;;;;425;INPS;35800;200;1;179.00;
;;;;426;GOTODRCH4A;22500;1700;5;13.24;
;;;;427;DART;13600;100;1;136.00;
;;;;428;UNSP;10500;100;1;105.00;
;;;;429;JAST;5000;100;1;50.00;
